,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
510,"118.58542071984436,32.018847276264594","121.08303441147861,29.046113129255836","122.18467290856032,28.26301450024319","112.94989512402724,29.46310151690175","131.5434703307393,29.83259362840467","112.06664944066148,55.97107931055447","129.7206499270428,52.47287284168288","109.19451453064202,83.78709417558366","159.88591318093384,63.78493585846304","102.50046358219845,109.53313472762646","110.10780186040856,109.76857368677042","114.98615333171206,102.89578520184826","128.69473492217898,103.03281553988327","120.14936466439688,134.66853112840468","128.39027541342412,137.2922543774319","125.26544260700389,166.01334508754863","129.9667132782101,165.9176495622568",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_flipped\1_73.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_flipped,1
514,"122.97755046206225,33.88193093385214","119.45709964737354,29.00545849039397","121.48337943822958,31.01916646400778","108.95970634727627,29.731420613448442","123.01685615272373,30.34767714919747","102.59790704036965,55.45255502188716","123.47673729328794,48.358535232247085","105.46646248784047,79.77441026264592","120.71676647616732,77.64337609435798","102.92697440418289,107.60694309338521","108.51393026507782,107.06618585846303","110.88639196254864,103.0846151507782","129.1076574659533,102.2974829766537","112.46479815175097,133.5982642266537","129.1478295233463,134.11347884241246","129.772282344358,161.71826361867704","135.42403331712063,161.7001459143969",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_flipped\2_77.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_flipped,2
513,"116.55950571498055,32.781212001459146","116.74024197470817,27.088688594357976","116.10249726410505,27.77196505654183","103.85391840953308,30.56764120257782","116.26880167801556,29.640159517874515","102.31502310311284,52.709949537937746","115.04847853842412,51.733577030642024","100.59282283560312,80.61176130836576","119.0788925705253,76.71928957928016","99.88919625486382,106.74792527966926","109.22894880836576,106.8190737475681","109.86872264105058,101.91589402966926","126.30683821741245,102.34058852140078","120.52453945768482,132.63506201361866","126.68964311770428,135.50825328307394","128.8200997081712,163.27822531614785","135.71282222762648,163.01225072957197",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_flipped\3_81.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_flipped,3
512,"120.70893877675097,31.06909274683852","117.66005745379377,26.759822622811285","123.60881262159533,28.30931952213035","111.04561344844358,27.718957092047667","129.50566938229574,28.9950772890321","105.03825693093385,50.32969813959144","128.60394880836577,46.45878678258755","104.52943366974708,77.38126975924125","159.00965162937743,62.83427316391051","102.73267266536965,107.43963551799611","149.53290673638134,99.69150504620623","111.59441877431907,104.88908225924125","130.76481943093384,101.31787299367704","108.90903149319067,135.00421023832686","128.776188594358,134.42904912451363","127.0053349951362,161.06363995622567","130.94981152723736,160.98545415856032",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_flipped\4_85.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_flipped,4
518,"125.48758967655642,37.214794351896884","124.34261004377431,32.717822835603116","125.8354359192607,31.857038089737355","120.819202942607,35.2943670963035","130.950905885214,34.73317044625487","123.86923942120623,64.20604328793775","133.72367461089493,62.33613889226654","134.03330192120623,94.35143330496109","140.9139561040856,93.41436648832685","136.0054413910506,114.44047148589495","143.6190114299611,116.49314506322958","124.8956940053502,112.06704462548639","131.14906067607004,111.41389530642023","128.48714129377433,158.6809490515564","127.47180508268482,157.66749756809338","147.76167315175098,229.42246777723736","144.57201483463035,230.43906553988327",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_original\0_69.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_original,0
516,"132.17223978599222,35.78594281979572","133.388360286965,31.41104541585603","134.59513314688715,29.617183700145915","125.05863934824903,32.748784046692606","144.34454036964982,29.43353295233463","126.44994832198444,58.660395640807394","141.98887402723736,58.06613646035992","94.57183244163424,60.57373996838521","146.4047756566148,84.54102322470817","128.35285445038912,108.66884271643968","150.01624817607004,106.65742035505836","126.1008481274319,105.50420263861868","139.59499635214007,107.09797543774319","131.23895002431908,139.20110347762648","142.66103781614785,139.92461089494162","127.21675127675097,167.49866245136187","128.39775352626458,162.63913545719845",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_original\1_73.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_original,1
521,"131.45704644941634,34.77779973249027","128.6700510700389,30.897213946984436","136.24743129863813,30.461448580374515","126.14453884970817,31.855683441755836","144.83497993677042,33.70868038667315","132.61522677529183,54.872362901264594","148.88612597276264,57.22981517509728","93.40637159533074,60.98627872689689","154.03319552529183,83.84158408317121","113.90979146400778,99.59262524319067","153.96121108949416,105.38009180447472","130.0345482733463,102.81939293531128","138.99278027723736,104.87113174854086","138.07924975680933,139.76070038910507","142.5502340710117,137.18698321984436","123.24357064688716,163.87823747568095","129.21221425097278,163.88588278210116",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_original\2_77.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_original,2
517,"135.6422057392996,33.768281098005836","135.80312196011673,27.316341652480546","138.94683244163426,28.73205708900778","116.12078976167315,-0.34745194847017874","149.70403696498056,29.76929945890078","136.95447774805447,55.34304322714008","158.03919929474708,52.31909274683852","94.08040491245136,60.68908073929961","158.40506444552528,82.5943579766537","113.32037329766537,100.67838794990273","158.7899592655642,108.13102656857977","128.51869528210116,103.44994832198444","145.90232855058366,104.97557453793775","130.41860712548637,134.90137098735408","156.41988387645915,139.20204584143968","126.30774258268482,160.01384666828795","130.4908651507782,160.66903270914398",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_original\3_81.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_original,3
519,"132.11694430933852,34.0426001641537","128.08678866731518,29.549679292315176","136.7128374270428,29.914805371473737","124.32988053258755,32.23264986624514","144.10165369649806,33.44085907101167","134.98125911964982,56.13623996838521","145.64846789883268,58.57991473127432","92.93335055933852,60.73126291950389","151.60036174610894,84.35268725680935","149.49276507782102,107.75945403696498","151.87226410505838,106.49177711575875","129.20364178015564,102.6354799975681","130.73203428988327,102.48455739299611","132.21707806420233,138.25849647373542","142.12516719357976,137.70028270914398","126.20760122811284,162.6280854815175","131.47593932392996,162.2210755107004",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_original\4_85.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_original,4
522,"184.0584113570039,96.6218081225681","179.36244528210116,92.49927042801556","183.0343354815175,92.93920993433852","170.19444613326849,93.06427073200389","179.60434399319067,92.46274623054475","166.14369528210116,116.7943974951362","177.87638314688715,112.90251854328794","162.78036843385215,145.57383876459144","181.7481304717899,142.42594844357976","161.2361685311284,164.18464250972764","184.72239785992218,162.79260396400778","166.07560189688715,169.1474343385214","175.45528331712063,166.04799975680933","168.4615454766537,190.4953337791829","180.29961089494165,191.27016962548637","169.18312256809338,215.59656189202335","179.4848005836576,215.45031310797665",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_3_flipped\0_34.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_3_flipped,0
520,"185.5952547422179,102.37424002918289","179.9158560311284,98.4771172786965","181.63173334143968,97.54165400048639","174.62188411964982,101.18395093628405","182.76357307879377,100.68594205982491","170.2277784533074,122.74316026264592","177.50138314688715,122.88620956955253","161.79375911964982,162.1503374270428","176.48334143968873,161.8591926070039","154.89918227140078,187.41726957684824","157.96470695525292,197.25384545233464","169.89439445525292,177.2428410749027","175.4831134484436,177.33438715953307","176.14325449902725,189.6488630836576","174.26538180933852,189.63749392023345","168.11224768968873,219.7141293774319","171.30602504863813,220.15208535992218",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_3_flipped\1_38.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_3_flipped,1
523,"178.35615272373542,107.66225376945525","178.26477383268482,100.56272799124514","180.79438229571986,102.17927711575875","172.76618737840468,104.28896370379377","184.75249270428017,104.82821619649806","169.79991488326849,125.0873358463035","178.96051191634243,126.04004286235408","160.81555508268482,163.6190874270428","177.01722093871595,161.89076179474708","155.12486320525292,183.06646704766538","159.0052741974708,191.41801434824902","167.5747203307393,176.5448382782101","178.15682757782102,176.51141476167317","171.7101167315175,191.84311162451363","174.52216074902725,192.25387585116732","161.26933365758754,222.14050340466926","167.73221668287937,222.95320099708172",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_3_flipped\2_42.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_3_flipped,2
525,"183.45877918287937,104.50953003404669","180.83846060311285,100.43977231274319","181.7892752918288,100.58689506322958","172.65430447470817,101.83805781857977","181.008922057393,103.4087579036965","169.3388405885214,123.26599738570039","177.11867704280155,125.47732247081713","165.24694491731518,149.25452942607004","179.1857368677043,156.26492582684824","152.65476045719845,172.6282982733463","154.35583353599222,173.02532222762648","169.40304292315176,172.14167375972764","175.68912633754863,172.59571072470817","171.08177285992218,192.49861685311285","172.8361502918288,192.90444126945525","166.55988570038912,223.32728903210116","170.5359162208171,223.53316512645915",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_3_flipped\3_46.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_3_flipped,3
541,"179.30125243190662,98.9376063959144","178.20234982976655,96.0297984557393","181.0814840710117,95.96434976896887","170.43186101653697,92.46184186527238","178.74844965953307,94.43009788424125","163.9772768725681,112.77383268482491","175.13217412451363,115.73210268725681","152.49980240758754,140.9956985651751","178.94551009241246,142.47934399319067","150.34362840466926,163.40407648346303","187.6275839007782,164.72446498054475","164.4759089250973,169.43322896400778","176.11320525291828,169.3536448200389","163.0881870136187,190.55020367217898","177.19783560311285,186.48302225194553","158.87376884727627,217.80304596303503","173.03979207198444,218.8709113570039",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_3_flipped\4_50.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_3_flipped,4
524,"72.35519516050584,96.59216166099222","71.89444005350195,93.34227565661479","75.49853325632296,92.75024319066148","72.5092108463035,94.19472732247083","84.85304444309338,96.11379043044747","74.90661478599222,116.54232277480546","92.16740637159533,115.90817272616732","72.2348765807393,141.84037572957197","93.87012098735408,145.0513892266537","74.49254468628405,163.3513497081712","93.94131505350195,169.33347519455253","76.56089646157588,163.77707016050584","87.58792102383269,166.45944795719845","75.89204614542801,189.52292071984436","90.1309657709144,191.46598370622567","77.11522677529183,213.98744528210116","102.32651386186771,217.6014561040856",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_3_original\0_34.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_3_original,0
