,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
510,"72.17613083657588,117.22117430690662","70.07283560311284,115.94856517509727","73.31222641050584,113.8386049975681","69.5600984922179,118.54754377431907","75.13780550826849,113.7903316512646","66.52617339494164,128.74612414883268","84.32455313715954,124.32090527723736","78.86890503404669,154.50987962062257","105.05063685554475,149.9433061770428","77.26732733463035,127.08161326605058","81.80310676070039,126.45429535505836","74.79584903939688,173.9975680933852","99.91564323929961,170.70981274319067","94.18401173394942,221.1899775048638","113.11694430933852,224.82241001945525","159.24291707198444,143.86186770428014","159.11852504863813,142.92310615272373",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\3_29.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,3
515,"76.52360469357977,117.46102109678988","74.00170233463035,117.18937712791829","78.52852930447472,110.40832472033074","68.5529471668288,116.1300690053502","76.72845482733463,114.39171935797665","108.5020595209144,79.32267600924125","117.493297057393,94.87096455496109","99.23843324416343,151.83722945038912","105.46488174854086,151.90365089980546","79.30448990758755,128.22549854085602","83.47017874513618,127.85264165856032","77.17910232247081,175.82026690175098","100.95890837791829,174.1040400048638","95.68053866731518,220.42684520914398","131.04401750972764,119.20678045963035","158.47682089007782,146.20981274319067","157.79517266536965,145.6908590710117",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\4_32.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,4
514,"69.22742126702335,116.83359678988327","66.61471759484436,114.98736928501945","71.1999027237354,112.86051495622569","67.20744923394942,117.56408833900778","75.52728295233463,114.46703246595331","71.8958535992218,133.82788180933852","117.41419929474708,98.89243373054475","100.08270002431907,148.99840406128405","105.29216318093385,149.9214798151751","76.88066938229572,128.15618920233464","81.97319582928016,128.37192971789884","68.20966074902724,175.52968446011673","99.58634788424125,173.88939384727627","94.71868920233463,222.57066208657588","98.64382447714009,222.15816512645915","98.67596364299611,227.79385031614785","157.82359557392996,147.47966318093384",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\5_35.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,5
513,"70.44868677042801,117.51151355787938","66.24412542558366,116.35505836575875","70.95876398346303,112.75748571254864","108.71634089250973,85.07696984435798","72.9407754742218,114.26591378891051","71.780672422179,131.29321194066148","116.97976197714009,97.94673364542801","103.19397495136187,146.7323686770428","103.23299945282102,145.17003587062257","76.8482642266537,127.18310736867704","81.3757903696498,127.80711940661479","65.66581043287938,171.32865697957197","94.38060858463035,167.61516597762648","94.78445707684826,222.30444430933852","129.09685068093384,119.67885913180935","128.59230605544747,142.6203337791829","134.97758086089493,143.13959143968873",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\6_38.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,6
516,"114.9421434216926,90.5338870987354","113.79108402237354,86.77582380836576","118.38870987354086,85.95105787937743","109.37471121108949,89.24261308365759","122.44530490029183,88.45605848735408","104.69253100680935,104.26543500729572","130.7346941877432,109.04569704523347","101.20929596303502,146.02479024805447","102.17079584143968,148.52711575875486","74.96906158803502,127.20738843628405","128.39103538424123,128.47780885214007","120.38846668287938,152.23005836575877","128.92850194552528,149.6896887159533","107.5924808487354,124.53405429231518","130.11838825389106,120.14850589737354","128.59943458171207,143.77392388132296","154.40583961575877,148.284001094358",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\7_41.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,7
522,"66.83976015321012,113.75616336332685","65.48549215710116,112.51533621108949","66.6061831225681,109.4907359557393","65.4884940418288,114.32874817607004","70.15908469114787,109.38497081712062","65.15978386429961,124.03627340710116","127.84949537937743,106.32165004863813","94.59375,145.01126276750972","97.18100224951363,142.36331164883268","78.01428745136187,122.61933061770428","88.32681785019456,125.71010913180935","122.23483098249028,148.58359678988327","129.02258633268482,146.4865181177043","83.01034320282102,219.0064901507782","132.6390898589494,116.68384454036965","152.40948747568095,147.6552468385214","153.7780581225681,147.3133967655642",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\8_44.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,8
517,"68.36942941391051,118.92999148832685","66.75362506079766,116.31733341439688","70.78625820768482,114.4615454766537","113.30129803015565,91.18112384484436","121.49550097276264,87.73565175097276","109.74029517266537,105.71305781857977","129.00015199416342,107.41895671206225","93.86901902966926,148.6926678015564","98.03860651750973,146.26846729085602","81.6374331225681,121.94306298638132","130.8002340710117,132.6939445525292","62.363467442850194,171.89676556420233","129.9924002918288,150.91502006322958","82.93954432149806,222.05974890564204","134.31069126945525,139.46461575875486","154.47805204280155,148.00037998540856","156.04842534046693,147.97441938229574",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\9_47.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,9
518,"177.90286053015564,119.93239299610894","148.3779790856031,91.03277754134241","181.84022373540856,116.59476836089495","144.7232642266537,92.32591348492218","183.84288363326849,115.30211119892996","168.42815235894943,122.35407800340467","200.45730483949416,129.9234861381323","149.36968020428014,155.11621473735408","162.55486989299612,154.30082684824902","155.87841986867704,140.63573078793775","172.18572166828795,141.4360256566148","137.08423516536965,155.82470513132296","44.71451316269455,171.19306298638134","126.38304049124514,225.15821072470817","162.1644576848249,224.4424398103113","97.46012433122569,157.94564688715954","97.9004438229572,138.69022069552528",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\0_75.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,0
520,"155.7883481274319,94.47300583657588","147.7326574659533,90.40404608463035","151.45488813229574,88.76627097519456","143.0617400291829,90.68699081955253","161.75776690175098,90.56175522859922","128.9266780155642,106.7142129742218","146.5248662451362,102.58776142996109","147.6198321984436,87.05108523832685","157.79073443579767,144.43658803501947","86.81108645428016,132.12036417801556","144.90758754863813,136.53313472762648","135.08618069066148,158.48972519455253","149.30456590466926,157.31534229085602","127.29532465953308,224.40573321984436","147.5649319066148,224.35361442120623","96.13398285505836,154.1244984192607","98.12324446741245,154.97482976653697",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\1_78.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,1
521,"192.38939384727627,116.8878815053502","190.80684581712063,113.17768877675097","195.419078307393,113.23130471789884","187.02503343871595,110.57829979328794","194.08494953793775,111.4680660262646","182.82969053988327,115.18696802042801","202.5335755107004,128.15971546692606","166.0304596303502,144.12580556906616","163.07117886673151,144.24095634727627","98.44043348735408,156.92669321498056","172.5442910992218,101.96986715710116","132.12723431420233,160.0127523103113","157.03539944066148,168.95008511673151","127.58330800097276,224.20070829280155","177.81584387159532,178.4915795233463","98.67920111867704,154.99502979085602","126.93899714250973,142.43059946498056",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\2_81.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,2
524,"191.11320525291828,116.94339737354086","188.97700328307394,112.41912390564202","193.5255806177043,113.89307210603113","186.51399866245137,110.0854131201362","194.50262949902725,114.30819096546693","122.69326057879378,103.35150170233463","200.93400413424123,124.37658073929961","162.6476471303502,143.2739390807393","162.46314141536965,145.20538971303503","99.61891263375486,162.66910870622567","170.40369649805447,103.0356578307393","132.96496534533074,169.81455192120623","156.11271887159532,169.77187196011673","128.14448565175098,224.0651142996109","161.6312317607004,222.9115241974708","97.12574477140078,150.9708627188716","95.99692211819067,151.9144880836576",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\3_84.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,3
523,"192.65916828793775,115.05196680447472","191.08490393968873,111.44263740272373","194.9390807392996,114.32797300583658","188.12465041342412,110.21127948686771","197.0009271643969,112.28572622811284","122.43929353112841,101.44503891050584","199.87465041342412,124.31202881809338","161.62116974708172,144.9345969114786","161.92144941634243,145.6574659533074","175.35823504377433,124.87454401750973","153.64945586089493,135.37899744649806","137.2860834143969,170.61077334630352","152.11060615272373,169.92152541342412","129.42600924124514,223.9600407344358","162.80356274319067,223.52796692607004","101.26725893725681,156.56997811284046","92.98546935797665,147.4344145184825",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\4_87.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,4
539,"157.6693366974708,91.00344266780155","156.0647495136187,85.43652723735408","172.3151446984436,99.70038910505836","148.07779061284046,85.86135092412451","174.0112171692607,100.51152875729572","125.6304641901751,103.4518558487354","165.4591135700389,105.05959691147861","162.01392266536965,144.42774197470817","163.1689719114786,144.30556906614785","92.39494923394942,150.3658195525292","169.70660566634243,108.8807529790856","140.10753587062257,171.96954036964982","150.62427042801556,171.61230848735408","128.6382994892996,221.5297756566148","162.13253891050584,220.5946467655642","96.66698838764592,155.20203064202335","94.13557879377431,156.7006930933852",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\5_90.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,5
527,"192.19386855544747,115.61999939202335","192.759499635214,112.0269485651751","197.01392266536965,112.3748404061284","188.87848066634243,112.16603842412451","198.16308973735408,112.6977140077821","120.469593567607,101.44623206468872","201.15541403210116,131.6281918774319","160.0330435311284,144.45279061284046","162.34903939688715,147.85062013618676","137.24816087062257,97.76788211332685","170.39153696498056,100.96149987840467","140.20224343385215,169.03959447957197","151.23603173638134,169.01937925583658","126.85812104815176,222.67625243190662","161.13217412451363,221.4780672422179","95.68629164640078,153.91009545233464","129.26518421692606,140.83216804474708",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\6_93.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,6
526,"191.52726775291828,115.81235560554475","190.03305873054475,109.03726136916343","193.6275839007782,109.45163545719845","189.51629377431908,109.13807149805447","197.07769941634243,108.97844722762646","128.71432696984436,103.43540248054475","165.6496990515564,100.96829401750973","159.42711879863813,145.0841743677043","164.0823504377432,149.16874392023345","96.16778635700389,154.63680994649806","184.7744710603113,108.42951270671206","142.09318762159532,168.49072835603113","159.91612962062257,169.07663545719845","128.96861320525292,224.97414579280155","158.94181663424123,161.07978173638134","99.22062712791829,153.40343810797665","120.97691208657588,144.54641901750972",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\7_96.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,7
525,"187.2897160749027,112.96504134241245","193.6344236381323,111.75495500972762","195.69435493677042,111.96051191634241","190.15734435797665,111.7042877553502","197.64386247568095,111.21561892023347","121.72699568336576,101.93515928988327","198.0748723249027,128.68125303988327","159.73407101167317,142.62127614299612","164.43981031128405,146.39580800097278","96.9189187135214,153.85686709630352","185.57578428988327,104.97190387889106","140.80915612840468,156.94227261673151","159.21055751459144,165.3340071741245","141.96457016050584,180.0240454766537","176.01053319552528,221.43956712062257","97.8960359922179,153.36667071984436","117.90808152966926,145.86545476653697",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\8_99.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,8
529,"194.7845026750973,117.59142448929961","193.79850133754863,112.59147008754864","196.423562135214,112.08920537451363","192.34850741731518,110.19525170233463","200.0070525291829,109.82275960603113","146.0099252188716,93.94307818579766","197.1355027966926,128.19493251459144","162.6254255836576,143.64846789883268","153.49098674610894,67.53348431420234","183.18436892023345,126.68590406128405","185.0968962791829,107.45152906128405","142.28843932392996,105.01545780642023","146.71232064688715,103.7909624270428","206.4957745622568,29.778375410384243","212.36702030642024,29.56584767144942","99.6420233463035,151.02615819552528","128.16728477626458,132.62031857976655",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\9_102.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped,9
531,"63.20653346911479,115.07095087548639","61.3360438959144,113.82675705252919","63.324066755836576,113.91330252918289","60.77657617947471,119.56386794747083","66.53659259484436,113.79903331712062","58.83650367825876,130.48145671206225","121.08086089494164,101.50578337791829","92.27662177772373,150.1968476410506","146.78997446498056,129.34832502431908","67.35804505107004,130.12633754863813","162.73522616731518,125.35418439931907","60.45293120744164,174.49732490272373","79.57476592898833,173.38250851167317","95.36988539640078,223.5741123540856","153.10914700875486,133.65404608463035","166.71048151750972,136.52241913910507","167.90662998540856,134.57207563229574",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\0_75.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original,0
528,"101.7434034533074,94.37595756322958","92.72052833171206,92.79718658803502","107.95158985894942,85.81617065904669","82.32703824173151,93.8305797057393","111.95140746595331,82.15776234192607","79.98101592898833,111.95623328064202","126.16644120865759,101.0301936405642","76.81951453064202,152.14845269941634","158.02108159046693,135.7686040856031","68.01348188229572,130.3696194066148","164.54233037451363,129.0829280155642","94.25944643725681,176.44303258754863","130.24116913910507,168.95250182392996","95.08991974708171,222.6265047422179","152.65374209630352,132.97995196984436","166.40260214007782,133.21979875972764","166.75291828793775,132.32414275291828",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\1_78.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original,1
530,"55.71232444674125,113.9161220209144","56.04928410749027,109.39108098249028","57.519797239785994,107.17144181663424","60.799531098005836,109.90056541828794","65.59717746838521,107.79252796692607","78.3834432757782,113.39155216439688","123.19147464737354,103.59479875972762","89.93812317607004,152.0499604815175","157.62382964494162,152.88787390564204","66.63055538667315,125.16884271643968","159.0495652966926,152.61797786964982","97.9421966196498,176.1286174610895","129.24264348249028,169.03711697470817","83.40840071741245,213.6896887159533","148.18906553988327,135.1410201848249","161.3496321741245,137.9312986381323","164.94813959143968,139.10993737840468",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\2_81.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original,2
532,"57.02430386673152,115.31173242947472","57.72630410992218,113.23053714737354","60.98115272373541,111.55565266293775","59.604305994649806,115.54685220087549","68.29821254863813,111.09528514105058","76.03030763618678,113.98777206955253","128.19672604571986,102.40616640321012","89.90117339494164,148.3562895184825","96.13323808365759,150.1918318336576","66.44961393482491,127.87931663424125","156.9115849951362,149.4952729815175","93.29957289640078,174.329766536965","83.22574173151752,173.03319552529183","95.89174975680935,215.22364421206225","113.34645549610894,223.32800340466926","161.08592230058366,141.47092351653697","161.53131079766538,144.907937135214",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\3_84.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original,3
