,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
14,"63.8256170963035,163.23689810311285","58.7772905520428,163.84621230544747","59.09954097762646,149.0690965466926","55.63357247081712,160.49536417801556","58.32963354207199,148.41813594357976","51.17285916220817,190.1392266536965","69.06459751945525,132.4655581225681","85.97672969357977,71.25482581468872","80.37705192120623,70.26721333900778","53.568275778210115,187.88697714007782","53.86560676070039,188.74531857976655","127.63608037451363,219.33004012645915","115.9643421692607,182.01206833657588","83.17985469357977,213.03749696011673","57.34429717898833,206.29699659533074","49.52311831225681,206.36355483949416","50.59930538667315,206.2338734192607",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\0_151.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,0
11,"64.70974434581713,164.77681177042803","59.97052073200389,164.77939567120623","56.77463445403696,152.88541160019454","56.31609466196498,159.50866366731518","59.54018725680934,149.79008086089493","49.44938594357977,189.1234952577821","71.16713278210116,130.17751398346303","84.34975376945525,70.56088886186771","86.82122446498055,74.1496534533074","52.824154152480546,188.76083718385215","52.3463377006323,189.4499787208171","127.48171510214009,221.4778848492218","129.4165400048638,218.77453185797665","36.696346060311285,209.93350255350194","42.972416859192606,209.858265442607","48.92581544868677,206.70148346303503","50.76884347641051,206.46282222762648",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\1_157.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,1
10,"67.22245105787938,166.3101744892996","62.10718628404669,165.48966439688715","58.210025535019454,154.99940722276264","57.021400778210115,159.247735286965","59.879043044747085,149.53477626459144","47.27646218385214,187.54211758268482","2.37080234868981,183.71110469357976","87.10545355058366,68.881702942607","85.67087943822958,72.87481760700389","53.525690813472764,189.64454644941634","49.76659396279183,194.85060493677042","125.3075373905642,221.13913545719845","117.2299139713035,184.16134180447472","52.89298090953307,207.83534472276264","38.131744741001945,223.1011673151751","49.75736031736381,206.544078307393","51.19914275291829,206.02410627431908",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\2_163.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,2
12,"65.70210663910505,164.79392631322958","61.52075480301556,164.66322653210116","57.58091409289884,153.86638193093384","57.627663697714006,158.96086150291828","59.147449537937746,148.9048820525292","53.47312363205253,180.99065235894943","2.1039668576726656,183.37443762159532","86.4644485651751,68.57855818336576","85.60777906128405,71.78113600437743","51.52241913910506,189.47245865758754","48.17656022008755,194.64319370136187","125.23991518725681,220.8169078307393","118.64280611624514,181.61907222762648","37.26714114178016,212.22466257295721","38.162113174854085,223.28012524319067","49.04828854571984,207.1122324902724","50.36278346911479,206.65287572957197",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\3_169.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,3
17,"69.59153848492218,164.80915612840468","64.03156918774319,164.42885153210116","60.61249468020428,154.6266111381323","57.63425644455253,159.41003465466926","59.77347929839494,150.82704584143968","54.063708353599225,181.1421297422179","6.149380813776751,183.77235834143968","86.13097337062257,68.89720634727627","86.77691816634241,71.40398528696498","48.4856935493677,196.69665004863813","49.28079401750973,196.02091439688715","125.0110347762646,221.23090953307394","117.4530718020428,183.59025413424123","53.494041828793776,208.80344114785993","38.78652419747082,222.48334143968873","49.6767844114786,206.8489785992218","50.85984238205253,206.19885396400778",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\4_175.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,4
13,"191.2590284533074,160.25016719357976","198.65182696984436,154.12651994163426","197.017844114786,166.42631322957197","195.31058487354085,155.19864117217898","200.6428137159533,163.74896643968873","181.8363630836576,126.79171479815176","170.42096303501947,134.34294443093384","171.55575145914398,214.66287694552528","172.32458353599222,214.4018421692607","205.1074446741245,192.34896339980546","202.25664214494165,192.78424428501947","111.26336788667315,142.39510882782102","157.54644941634243,203.80742339494165","170.97209387159532,215.01260031614785","170.92371412937743,216.24077395428017","193.3249331225681,216.19646765564204","192.06050887645915,215.80126763132296",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original\0_151.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original,0
15,"189.08545111867704,159.1306237840467","198.25905885214007,155.93537208171207","195.1815570282101,166.23369102626458","194.47273224708172,156.63956104085602","201.86896583171207,164.35870622568095","184.90220695525292,128.3756535749027","170.71168227140078,132.9513314688716","171.41518725680933,214.99230909533074","172.12150413424123,215.1881079766537","181.0227839250973,87.63551039640078","175.1083718385214,85.39032101167315","112.50223431420234,139.02789092898834","115.06435432879377,157.6194370136187","170.78964007782102,215.5984770184825","169.9395367217899,215.89064019941634","193.62759910019454,214.8107368677043","192.8431420233463,214.67100863326849",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original\1_157.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original,1
18,"190.1379803015564,159.7556237840467","198.25200632295721,154.60203368190662","195.1838065418288,159.65710116731518","194.40059581712063,155.62167132782102","201.7281736381323,163.91737597276264","183.69934034533074,128.6772099951362","170.20665126459144,133.54654061284046","170.67278696498056,215.2024410262646","172.32298759727627,215.08584630350194","141.6344236381323,97.30872294503891","200.95675766050584,192.24246108949416","112.49762129134241,139.83733584630352","117.9662420963035,142.43643604085602","170.42134302042803,215.3102048881323","170.60913180933852,215.72151629377433","192.7416403210117,213.87613995622567","191.8154790856031,213.8127887889105",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original\2_163.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original,2
16,"190.69731882295721,161.96982915856032","198.6401234192607,156.00413424124514","196.3206012889105,168.04111442120623","193.33383998054475,155.6853872811284","201.6140412208171,163.7779973249027","182.93392813715954,127.32117886673151","171.11942181420233,130.8061618433852","171.55844175583658,214.74734010214007","171.8064810311284,214.74419382295721","140.82587548638134,98.08946376459144","173.85935980058366,81.9920811040856","154.21447896400778,214.88516840953307","158.9047756566148,216.42956590466926","170.26690175097278,215.07204523346303","171.13085177529183,215.56836697470817","193.1515229815175,213.60469357976655","192.09651629377433,213.05385153210116",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original\3_169.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original,3
20,"189.99352504863813,161.3293865515564","197.96207745622567,155.59910019455253","195.0524987840467,160.64219053988327","193.08426556420233,156.04973249027236","202.2887433122568,163.80486989299612","183.2553349951362,128.4968081225681","182.90910749027236,132.8288849708171","171.58988934824902,215.8829188959144","172.3294473492218,215.47586332684824","202.18756079766538,192.48323504377433","173.72440418287937,80.13503921449417","115.44953793774319,137.29234557392996","155.8782982733463,202.26215953307394","170.7266688959144,213.58770063229574","171.0732915856031,214.55377553501947","193.93087305447472,213.72296023832686","193.25278149319067,213.23805325875486",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original\4_175.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original,4
19,"69.01484223005836,164.9387615515564","62.82738402845331,165.7639682636187","57.833448595573934,153.72464737354085","57.37762569917315,161.22388740272373","58.92576605058366,152.1892935311284","53.069347337062254,188.84818822957197","66.06648224708171,136.2864785992218","91.05059125729572,62.57080648103113","91.03389469844358,63.52642798516537","51.01360347762646,194.91454888132296","121.66502766293775,90.9203702577821","123.17956590466926,222.06760700389106","115.61906462791829,186.6750668774319","83.95739603599222,219.5944643725681","53.10972458657588,222.99337305447472","201.43522008754863,152.26218993190662","51.318678562743195,203.91064263132296",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped\0_22.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped,0
28,"67.71058791342412,165.99782648346303","62.46927437986381,166.63190053501947","58.09840862110895,153.57196923638134","57.8925249270428,161.23060554474708","59.05042786357004,151.61770428015564","53.28167558365759,188.96222945038912","66.4604359192607,136.04584143968873","90.43553167558366,63.37398923881323","89.4491123540856,62.903472306663424","50.68579006566148,194.7362445282101","121.78219236381324,91.61258967655642","123.13478842412451,223.26785931420233","115.55828216196498,182.98937560797665","84.7116214737354,220.23051434824902","52.21823701969844,223.11233888618676","200.6081134484436,152.3659715466926","197.79020245622567,153.25384545233464",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped\1_28.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped,1
22,"70.06045567850195,163.8759271643969","64.07130806177042,165.31207441634243","58.904597063472764,153.67333414396887","56.71950237110895,161.04261916342412","58.82897236746109,152.40713156614785","51.6708718385214,189.72153149319067","64.92967230058366,136.8395549610895","88.13381566147861,63.29454568944553","87.89628678258755,62.62728751215953","118.45596729085604,95.67201939445525","119.36777267752919,92.5415704036965","124.53022403939688,222.73692850194553","116.99330465710116,181.72051313229574","84.97808244163424,219.84037572957197","38.94467032465953,225.0135426799611","61.0153096121109,155.71912998540856","50.9057484192607,204.47292983949416",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped\2_34.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped,2
21,"68.5595437135214,165.25539579280155","63.28665339250973,165.49936162451363","57.50931344236381,154.95976714494162","58.19851957684825,160.26255471789884","59.2826217473249,152.1454280155642","54.61544336697471,189.1517965710117","64.95949355544747,135.84835542315176","86.96501854328794,63.729556785019454","85.78585542315176,62.36743829036965","118.92575085116732,96.27455465710116","119.06884575632296,92.85181329036965","125.09606791099222,221.85083292801556","117.5492765077821,181.35592473249028","56.10163089737354,207.52588460603113","52.815513284289885,222.018376094358","51.89253632660506,204.9242765077821","50.29651021400778,189.5319035749027",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped\3_40.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped,3
23,"67.98480058365759,166.67534046692606","63.838088217412455,166.35572714007782","57.03371610530156,156.12826787451363","57.31527389348249,160.32458353599222","60.061797026994164,153.2046601410506","53.24435721668288,188.69020549610894","65.23781766780155,137.07677225194553","86.49768968871595,63.06104085603113","85.70768482490273,62.12840086940662","115.77314871108949,94.1333140807393","117.9146704766537,93.44387615515565","125.72714007782102,219.9549945282101","116.43310736867704,180.28036843385215","37.61883283681907,225.79354632782102","51.296339220573934,223.47847762645915","134.21453976167317,190.90552042801556","140.9589311770428,226.70963035019454",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped\4_46.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_flipped,4
24,"187.69780520428017,162.51527541342412","200.6622993677043,159.70452334630352","194.00217351653697,169.02159837062257","192.10350802529183,146.6727717655642","194.5773042315175,151.51823929961088","117.81374635214009,120.41676799610894","167.41146339980546,132.0932028210117","173.62206651264592,217.83216804474708","168.89176495622567,215.20428015564204","136.1235256566148,92.2016734557393","139.72770245622567,93.4127705496109","119.19560128891051,206.4311618433852","156.88831468871595,218.82972093871595","167.89340649319067,215.76345148346303","169.44540369649806,215.8116032344358","192.98967959630352,213.24896643968873","192.10148650291828,213.54202638618676",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original\0_22.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original,0
25,"187.45020671206225,162.05573625972764","200.30775778210116,159.81374635214007","193.7793804717899,168.70117947470817","191.48317424610894,147.06166403210116","193.50170233463035,151.8865363570039","119.9075723492218,120.62914944066148","168.14009302042803,132.94572288424123","172.5685949659533,217.6758876459144","168.8855027966926,214.9796479815175","136.66321133268482,93.61261247568093","139.3050826848249,94.51969844357977","114.14040460846304,156.97671449416342","156.9378951848249,218.53158438715954","168.38826909046693,215.66462487840468","169.63867947470817,214.82456833657588","192.49965041342412,213.30324355544747","192.23352383268482,213.69984192607004",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original\1_28.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original,1
26,"187.584827942607,159.80369953793775","198.2562013618677,155.3568974951362","192.59587791828795,159.72797604571986","191.34104450389106,147.91283134727627","196.50674854085602,162.21209265564204","118.98703489785993,120.11304565904669","167.72710967898834,134.01342108463035","172.19225741731518,217.03026203793775","169.01597458657588,215.68614725194553","136.36483159046693,95.27080800097276","138.02804292315176,95.32919655885215","126.06062287208171,218.67017266536965","157.89627918287937,218.3547087791829","167.9169655885214,215.68436892023345","170.47703368190662,215.33248723249028","193.2562317607004,214.79065843871595","192.40842351653697,215.23059034533074",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original\2_34.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original,2
30,"188.63145975194553,160.99385943579767","201.50635335603113,159.0031918774319","195.26691695038912,168.02441026264592","195.48866123540856,155.40632599708172","196.970437135214,162.16153939688715","178.45244102626458,130.69508450875486","147.37279608463035,132.5716804474708","172.0878070282101,217.14368008268482","171.01428745136187,218.1498054474708","135.24059156128405,98.20729723978599","137.9342017266537,97.66056663424125","128.16359131809338,218.92634362840468","157.40032222762648,218.18075145914398","171.3847428258755,216.05585785505838","171.15096060311285,215.8657891536965","157.22338582198444,221.8672938959144","156.87665673638134,221.26872568093387",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original\3_40.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original,3
27,"189.33481274319067,160.89877188715954","199.26194674124514,155.65161417801556","194.4369984192607,160.45429535505838","195.56695342898834,154.86793227140078","197.64032101167317,161.37455921692606","178.00825328307394,130.8731760700389","180.10224647373542,165.08867339494162","172.67926191634243,216.8911265807393","169.23665491245137,216.0002887889105","136.196954036965,97.5282937135214","137.38162694552528,97.0305356274319","127.39406766780156,217.31502310311285","157.63507721303503,217.6986107733463","167.17100863326849,216.35721668287937","170.47583292801556,215.77682696984436","193.06488630836577,214.80072045233464","192.5267357733463,215.03632660505838",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original\4_46.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_2_original,4
29,"65.30256718142023,163.94095026750972","59.76966044503891,166.01703854571986","56.26769212062257,155.66678319552528","56.434437317607006,160.41687439202335","59.51555660262646,149.96563411964982","52.808798942120625,189.99198990758754","67.1451392266537,137.84484435797665","80.76932605787938,218.16074902723736","82.9734238205253,70.63871747324903","199.15500364785993,167.39828550583658","118.94833718385215,90.24533377918289","122.95939475924125,219.92251337548637","115.02960086332685,182.95677285992218","203.29298394941634,186.51468263618676","50.92421950997082,223.12095695525292","49.9057484192607,188.63250851167317","49.06161083414397,188.3968263618677",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped\0_71.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped,0
32,"64.19925674854086,164.3998054474708","59.00228751215953,165.95177225194553","55.65114679596304,155.6220209143969","57.40351410505836,160.70535931420233","58.07307499392024,150.0971546692607","54.64860089372568,190.11670111867704","66.74957441634241,137.3498449659533","88.9948017996109,65.50879286235408","86.532625547179,66.04099282587549","48.98878663059339,194.8023923881323","49.479765776994164,194.35002735894943","122.8053182757782,219.02083839980546","116.9413530520428,181.71776203793775","201.51893847276264,185.887828307393","51.3154296875,222.25355666342412","50.293348735408564,205.17613083657588","51.265602200875485,205.03880410992218",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped\1_77.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped,1
