Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path
"155.7883481274319,94.47300583657588","147.7326574659533,90.40404608463035","151.45488813229574,88.76627097519456","143.0617400291829,90.68699081955253","161.75776690175098,90.56175522859922","128.9266780155642,106.7142129742218","146.5248662451362,102.58776142996109","147.6198321984436,87.05108523832685","157.79073443579767,144.43658803501947","86.81108645428016,132.12036417801556","144.90758754863813,136.53313472762648","135.08618069066148,158.48972519455253","149.30456590466926,157.31534229085602","127.29532465953308,224.40573321984436","147.5649319066148,224.35361442120623","96.13398285505836,154.1244984192607","98.12324446741245,154.97482976653697",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\78.jpg
"191.11320525291828,116.94339737354086","188.97700328307394,112.41912390564202","193.5255806177043,113.89307210603113","186.51399866245137,110.0854131201362","194.50262949902725,114.30819096546693","122.69326057879378,103.35150170233463","200.93400413424123,124.37658073929961","162.6476471303502,143.2739390807393","162.46314141536965,145.20538971303503","99.61891263375486,162.66910870622567","170.40369649805447,103.0356578307393","132.96496534533074,169.81455192120623","156.11271887159532,169.77187196011673","128.14448565175098,224.0651142996109","161.6312317607004,222.9115241974708","97.12574477140078,150.9708627188716","95.99692211819067,151.9144880836576",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\84.jpg
"157.6693366974708,91.00344266780155","156.0647495136187,85.43652723735408","172.3151446984436,99.70038910505836","148.07779061284046,85.86135092412451","174.0112171692607,100.51152875729572","125.6304641901751,103.4518558487354","165.4591135700389,105.05959691147861","162.01392266536965,144.42774197470817","163.1689719114786,144.30556906614785","92.39494923394942,150.3658195525292","169.70660566634243,108.8807529790856","140.10753587062257,171.96954036964982","150.62427042801556,171.61230848735408","128.6382994892996,221.5297756566148","162.13253891050584,220.5946467655642","96.66698838764592,155.20203064202335","94.13557879377431,156.7006930933852",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\90.jpg
"194.7845026750973,117.59142448929961","193.79850133754863,112.59147008754864","196.423562135214,112.08920537451363","192.34850741731518,110.19525170233463","200.0070525291829,109.82275960603113","146.0099252188716,93.94307818579766","197.1355027966926,128.19493251459144","162.6254255836576,143.64846789883268","153.49098674610894,67.53348431420234","183.18436892023345,126.68590406128405","185.0968962791829,107.45152906128405","142.28843932392996,105.01545780642023","146.71232064688715,103.7909624270428","206.4957745622568,29.778375410384243","212.36702030642024,29.56584767144942","99.6420233463035,151.02615819552528","128.16728477626458,132.62031857976655",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\102.jpg
"191.52726775291828,115.81235560554475","190.03305873054475,109.03726136916343","193.6275839007782,109.45163545719845","189.51629377431908,109.13807149805447","197.07769941634243,108.97844722762646","128.71432696984436,103.43540248054475","165.6496990515564,100.96829401750973","159.42711879863813,145.0841743677043","164.0823504377432,149.16874392023345","96.16778635700389,154.63680994649806","184.7744710603113,108.42951270671206","142.09318762159532,168.49072835603113","159.91612962062257,169.07663545719845","128.96861320525292,224.97414579280155","158.94181663424123,161.07978173638134","99.22062712791829,153.40343810797665","120.97691208657588,144.54641901750972",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_flipped\96.jpg
"191.57721303501947,111.55031006809338","192.1698686770428,110.09438837548639","196.71633329280155,111.82902936527238","191.48106152723736,108.09488235651752","200.22628891050584,113.0300872446498","162.60163849708172,115.39626398346304","200.46554292315176,126.3071422057393","96.71335420719845,183.3832380836576","175.3573382782101,151.26118677042803","160.16877431906616,78.96452456225681","191.5927468385214,129.03767935311285","127.40979146400778,141.70751763132296","189.45013071498056,175.46478295233464","125.85901781371595,225.80933852140078","175.23369102626458,160.52133998054475","80.34267844114787,137.22486016536965","127.4524942242218,127.0456362475681",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_flipped\114.jpg
"193.05269637645915,111.40337731031128","153.21744285019454,90.83465314931907","197.09678988326849,111.99362384484436","146.6583931177043,93.56023528696498","180.63164214494165,104.1126732733463","145.4673820525292,105.89244133025292","177.849297786965,126.31800978842412","96.9420142266537,182.79720938715954","169.79394151264592,150.5400656614786","148.94181663424123,94.01854328793775","182.38709873540856,102.82958414396887","123.0306420233463,130.51577699416342","142.77258633268482,100.11205009727627","127.02451665856032,224.4888892266537","159.11648832684824,157.20385457198444","93.86961940661479,135.85125851167317","124.91731517509727,126.77697136429961",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_flipped\120.jpg
"158.17242217898834,95.0071817242218","156.35168409533074,88.00424063715954","167.55803137159532,93.74753769455253","147.0296388618677,89.34105210359922","169.76983523832686,92.9857201483463","128.34657709143968,104.1809566512646","192.25036478599222,124.74797847762646","105.12619315418289,134.13393725680933","174.4490059581712,150.47004195038912","97.8143467290856,151.59001094357976","186.1197714007782,123.12196771643968","138.98334143968873,165.54682940175098","162.09470756322958,172.31996291342412","128.42948990758754,224.2135821984436","165.3201301070039,222.60361442120623","97.5084964737354,151.05122203307394","94.60314323929961,146.97501215953307",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_flipped\132.jpg
"196.1565387889105,111.80277237354086","152.10885821984436,88.46196346060312","199.8087001459144,111.30651902966926","185.87534958657588,103.35488357247083","179.2505015807393,100.94703003404669","126.09178927529183,102.37607915856032","204.26413545719845,134.86113813229574","165.30559946498056,141.23853964007782","212.19658925097278,155.3729936770428","96.91065023103113,153.32859618190662","159.4679900291829,145.95596729085602","133.62712791828793,164.1990059581712","148.95770002431908,167.36635153210116","135.91283134727627,181.1072926799611","139.01948565175098,181.27188715953307","93.65615880350195,146.0169473492218","93.91055903453308,146.16343932392996",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_flipped\138.jpg
"191.27152237354085,112.79036205009727","192.2320798881323,112.23224708171206","196.2716439688716,114.29831894455253","192.65966986867704,110.01536660992218","196.72454097762648,111.2127310311284","128.53731456712063,106.4645017631323","197.9049276507782,131.29421510214007","153.4937682392996,147.30248358463035","174.93117704280155,150.76834569552528","94.05388953064202,127.67594844357977","193.54252796692606,157.39827030642024","133.9281523589494,158.6991123540856","192.95865758754863,176.84124209630352","127.70049550097276,225.79243677042803","162.7955070525292,224.03881930933852","100.18410293044747,141.93847276264592","101.29616822714009,142.362171692607",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_flipped\126.jpg
"101.7434034533074,94.37595756322958","92.72052833171206,92.79718658803502","107.95158985894942,85.81617065904669","82.32703824173151,93.8305797057393","111.95140746595331,82.15776234192607","79.98101592898833,111.95623328064202","126.16644120865759,101.0301936405642","76.81951453064202,152.14845269941634","158.02108159046693,135.7686040856031","68.01348188229572,130.3696194066148","164.54233037451363,129.0829280155642","94.25944643725681,176.44303258754863","130.24116913910507,168.95250182392996","95.08991974708171,222.6265047422179","152.65374209630352,132.97995196984436","166.40260214007782,133.21979875972764","166.75291828793775,132.32414275291828",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\78.jpg
"64.81858736624514,117.33883298881324","61.984519394455255,107.31553988326849","62.959094570768485,108.9053532344358","59.950373905642024,109.46517813715954","65.79119041828794,107.42500607976653","78.0442607003891,112.84416798394942","121.7200723492218,102.90865910749028","103.20440935068093,146.76156675583658","100.9946954036965,141.95686405642024","67.31734861381324,128.45203064202335","73.26130836575875,128.8732064688716","94.47497416099222,169.53631140564204","101.96858280642023,167.64366488326849","80.88663515321012,208.74413302529183","142.03798334143968,224.30073565175098","159.13015260214007,142.65228295233464","159.34443397373542,142.42944430933852",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\102.jpg
"57.02430386673152,115.31173242947472","57.72630410992218,113.23053714737354","60.98115272373541,111.55565266293775","59.604305994649806,115.54685220087549","68.29821254863813,111.09528514105058","76.03030763618678,113.98777206955253","128.19672604571986,102.40616640321012","89.90117339494164,148.3562895184825","96.13323808365759,150.1918318336576","66.44961393482491,127.87931663424125","156.9115849951362,149.4952729815175","93.29957289640078,174.329766536965","83.22574173151752,173.03319552529183","95.89174975680935,215.22364421206225","113.34645549610894,223.32800340466926","161.08592230058366,141.47092351653697","161.53131079766538,144.907937135214",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\84.jpg
"62.579112962062254,110.39493403453308","61.819373936040854,108.715953307393","58.516780155642024,104.1045719844358","57.621770124027236,110.82719783560312","66.94025869406615,107.23046875","75.19839798151752,114.71610530155642","126.55490789153697,101.89712275048639","100.51740333171206,146.39583839980546","102.94537329766537,143.86513557879377","66.57070768482491,129.94677164396887","156.41796875,147.13744832198444","97.03451027480546,170.1067910992218","115.60319643725681,169.77342230058366","83.35096212305447,207.35268725680933","110.5561162451362,212.32338278210116","159.08584630350194,147.23004316634243","158.56269759241246,145.97881201361866",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\90.jpg
"120.90181177042801,79.76981243920234","65.37072896400778,110.44338977383269","68.426890807393,111.80007447714009","61.94115545963035,115.85714828550584","113.51262311527238,79.85085572714007","106.05911812986382,101.52692576605058","129.08165126459144,103.26604298394942","102.81041767996109,147.25861806906616","99.32298759727627,141.25343506809338","67.85498236867704,129.3444035749027","157.65077821011673,146.4188655155642","94.89629438229572,169.5341530885214","130.95619528210116,159.6617673881323","81.27127918287938,222.2699264348249","114.3074081955253,223.85598553015564","162.55702821011673,142.39035141050584","159.79491427529183,146.96800522859922",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_1_original\96.jpg
"83.4680660262646,102.62987901264592","79.00526659776264,99.13225012159533","96.88442363813229,89.48039275291829","59.98948200389105,108.37274288667315","104.7715375729572,88.22368981031128","61.22595072349222,118.43264378647861","107.2876109557393,99.98296905398833","79.54245956955253,144.01370987354085","105.2049717290856,142.2211515077821","99.05765898589495,61.44904775656615","101.47927559581713,62.34980316755836","81.49673212548639,166.84358280642024","99.90132538910505,165.75600376945525","126.9862217290856,124.19369376215954","113.3510077213035,222.8612445282101","162.772327942607,126.07782861138132","167.10244406614785,128.82835299124514",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_original\114.jpg
"61.56688883146887,111.50317667801556","60.30364254012646,108.28206316877431","60.678843932392994,105.19930994649806","58.06602626459144,110.5521795963035","62.953398589494164,107.34197926799611","51.63939004742218,124.77691816634241","111.6366123540856,103.40426647616732","103.47486016536965,144.04778696498056","101.91254255836576,142.19996352140078","65.74057636186771,127.3272282344358","99.6518421692607,62.782203763375485","64.2915704036965,170.00563898346303","96.02654578064202,167.24583535992218","129.650124635214,124.57596668287938","112.7645686405642,222.86331164883268","159.52413667315176,130.52589980544747","166.90609800583658,130.80496108949416",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_original\120.jpg
"55.64543181541829,112.37452121838521","54.76407845938716,109.24613934824903","56.61978660019455,108.02541342412451","57.287109375,109.27763253891051","60.528396309581716,103.82310159289884","59.89247552893969,119.74110834143968","112.03118160262646,101.81831377675097","100.08631748540856,145.5074173151751","96.20668166342412,142.36735469357976","64.57391476167315,127.18594965953308","69.93877675097276,127.97893360894942","78.08191725437743,169.0526051799611","80.4811527237354,168.52240393968873","91.41777875729572,223.16144820038912","115.19364056420234,224.3260122811284","164.11279486867704,138.20028270914398","165.23256626945525,138.1924094114786",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_original\126.jpg
"59.86584995136187,109.42179140321012","59.0698641172179,106.52371108949417","58.04950829888132,104.52720695525292","58.788788910505836,107.01565539883269","61.00573017996109,102.68835876702335","51.46604070403696,120.80021887159533","124.74053076361868,100.3231623905642","105.1763360286965,147.05394272859922","102.34489755593385,144.98638132295721","65.51036600194553,128.28237475680933","156.93023467898834,145.59409958657588","95.12339646157588,170.54815175097278","79.86225528939688,170.32666585603113","96.18544807879377,215.98534776264592","127.36235408560312,121.06295598249028","160.25320707684824,141.8808821741245","159.66904790856032,147.56968932392996",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_original\132.jpg
"195.869938594358,117.11214129377431","195.35065053501947,113.08333080009727","199.4098674610895,114.12362445282102","192.82427954766538,112.48945920476653","202.16318093385215,116.28846212305447","186.53052042801556,123.63193853356032","200.85180569066148,129.72207867217898","162.0892965710117,140.48110712548637","162.28012524319067,148.07330678501947","174.1554292315175,99.23072714007782","173.90982186284046,99.34942698200389","130.37688472762648,160.57146765564204","192.59716986867704,168.09526994163426","125.7278316512646,225.5018239299611","161.387828307393,224.49714250972764","128.59803623540856,126.78123480058366","136.779030885214,128.18693762159532",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_flipped\108.jpg
"71.311656432393,99.75746291342412","61.23303365150778,101.79744497811284","58.44949613934825,101.81312317607004","57.86625273589494,107.02471425097276","61.13753191877432,102.28204796935798","110.33077729815176,101.67324294747083","115.82379316634241,100.88282009970817","77.72526294990273,145.99238509241246","105.85837943822958,143.72703368190662","64.91050583657588,124.17281736381324","156.28194917315176,145.7947926799611","78.76647616731518,172.64006262159532","115.31227960846304,172.23686770428017","123.5048030155642,125.17005107003891","127.76369467412451,123.88297969357977","158.88106456712063,147.26845209143968","159.4668196741245,146.28682818579767",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_2_original\138.jpg
"191.57721303501947,111.55031006809338","192.1698686770428,110.09438837548639","196.71633329280155,111.82902936527238","191.48106152723736,108.09488235651752","200.22628891050584,113.0300872446498","162.60163849708172,115.39626398346304","200.46554292315176,126.3071422057393","96.71335420719845,183.3832380836576","175.3573382782101,151.26118677042803","160.16877431906616,78.96452456225681","191.5927468385214,129.03767935311285","127.40979146400778,141.70751763132296","189.45013071498056,175.46478295233464","125.85901781371595,225.80933852140078","175.23369102626458,160.52133998054475","80.34267844114787,137.22486016536965","127.4524942242218,127.0456362475681",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_flipped\114.jpg
"193.05269637645915,111.40337731031128","153.21744285019454,90.83465314931907","197.09678988326849,111.99362384484436","146.6583931177043,93.56023528696498","180.63164214494165,104.1126732733463","145.4673820525292,105.89244133025292","177.849297786965,126.31800978842412","96.9420142266537,182.79720938715954","169.79394151264592,150.5400656614786","148.94181663424123,94.01854328793775","182.38709873540856,102.82958414396887","123.0306420233463,130.51577699416342","142.77258633268482,100.11205009727627","127.02451665856032,224.4888892266537","159.11648832684824,157.20385457198444","93.86961940661479,135.85125851167317","124.91731517509727,126.77697136429961",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_flipped\120.jpg
"191.27152237354085,112.79036205009727","192.2320798881323,112.23224708171206","196.2716439688716,114.29831894455253","192.65966986867704,110.01536660992218","196.72454097762648,111.2127310311284","128.53731456712063,106.4645017631323","197.9049276507782,131.29421510214007","153.4937682392996,147.30248358463035","174.93117704280155,150.76834569552528","94.05388953064202,127.67594844357977","193.54252796692606,157.39827030642024","133.9281523589494,158.6991123540856","192.95865758754863,176.84124209630352","127.70049550097276,225.79243677042803","162.7955070525292,224.03881930933852","100.18410293044747,141.93847276264592","101.29616822714009,142.362171692607",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_flipped\126.jpg
"158.17242217898834,95.0071817242218","156.35168409533074,88.00424063715954","167.55803137159532,93.74753769455253","147.0296388618677,89.34105210359922","169.76983523832686,92.9857201483463","128.34657709143968,104.1809566512646","192.25036478599222,124.74797847762646","105.12619315418289,134.13393725680933","174.4490059581712,150.47004195038912","97.8143467290856,151.59001094357976","186.1197714007782,123.12196771643968","138.98334143968873,165.54682940175098","162.09470756322958,172.31996291342412","128.42948990758754,224.2135821984436","165.3201301070039,222.60361442120623","97.5084964737354,151.05122203307394","94.60314323929961,146.97501215953307",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_flipped\132.jpg
"59.485522555933855,116.046031432393","83.65813472762646,98.35490637159533","59.697444218142024,114.09400839007782","73.88330648103113,98.91932909776264","65.34518634484436,109.77631018968872","77.52152237354086,117.23893482490273","110.79353112840467,103.24744649805447","60.99879544625487,153.6323109192607","105.77118038667315,144.79982368677042","65.34162968142023,119.8872735286965","161.35147130350194,129.6410201848249","94.13942424610894,169.13766111381324","104.35476197714009,167.73923881322958","141.07769941634243,136.25200632295721","153.91959508754863,131.8901234192607","163.07307879377433,131.44067667801556","165.4787056177043,131.43303137159532",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_original\108.jpg
"61.56688883146887,111.50317667801556","60.30364254012646,108.28206316877431","60.678843932392994,105.19930994649806","58.06602626459144,110.5521795963035","62.953398589494164,107.34197926799611","51.63939004742218,124.77691816634241","111.6366123540856,103.40426647616732","103.47486016536965,144.04778696498056","101.91254255836576,142.19996352140078","65.74057636186771,127.3272282344358","99.6518421692607,62.782203763375485","64.2915704036965,170.00563898346303","96.02654578064202,167.24583535992218","129.650124635214,124.57596668287938","112.7645686405642,222.86331164883268","159.52413667315176,130.52589980544747","166.90609800583658,130.80496108949416",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_original\120.jpg
"59.86584995136187,109.42179140321012","59.0698641172179,106.52371108949417","58.04950829888132,104.52720695525292","58.788788910505836,107.01565539883269","61.00573017996109,102.68835876702335","51.46604070403696,120.80021887159533","124.74053076361868,100.3231623905642","105.1763360286965,147.05394272859922","102.34489755593385,144.98638132295721","65.51036600194553,128.28237475680933","156.93023467898834,145.59409958657588","95.12339646157588,170.54815175097278","79.86225528939688,170.32666585603113","96.18544807879377,215.98534776264592","127.36235408560312,121.06295598249028","160.25320707684824,141.8808821741245","159.66904790856032,147.56968932392996",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_original\132.jpg
"83.4680660262646,102.62987901264592","79.00526659776264,99.13225012159533","96.88442363813229,89.48039275291829","59.98948200389105,108.37274288667315","104.7715375729572,88.22368981031128","61.22595072349222,118.43264378647861","107.2876109557393,99.98296905398833","79.54245956955253,144.01370987354085","105.2049717290856,142.2211515077821","99.05765898589495,61.44904775656615","101.47927559581713,62.34980316755836","81.49673212548639,166.84358280642024","99.90132538910505,165.75600376945525","126.9862217290856,124.19369376215954","113.3510077213035,222.8612445282101","162.772327942607,126.07782861138132","167.10244406614785,128.82835299124514",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_original\114.jpg
"55.64543181541829,112.37452121838521","54.76407845938716,109.24613934824903","56.61978660019455,108.02541342412451","57.287109375,109.27763253891051","60.528396309581716,103.82310159289884","59.89247552893969,119.74110834143968","112.03118160262646,101.81831377675097","100.08631748540856,145.5074173151751","96.20668166342412,142.36735469357976","64.57391476167315,127.18594965953308","69.93877675097276,127.97893360894942","78.08191725437743,169.0526051799611","80.4811527237354,168.52240393968873","91.41777875729572,223.16144820038912","115.19364056420234,224.3260122811284","164.11279486867704,138.20028270914398","165.23256626945525,138.1924094114786",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_3_original\126.jpg
